Sono 1 dia,
Data,2025-09-27
Duração total do sono,4h 54m
Duração do sono profundo,1h 26m
Duração do sono leve,3h 10m
Duração do REM,18m
Tempo acordado,--



Métricas da linha do tempo do sono,
Frequência cardíaca em repouso,56 bpm
Alteração do Body Battery,+32
SpO₂ média,91%
SpO2 mais baixo,83%
Média da taxa de respiração,16 brpm
Taxa mais baixa de respiração,12 brpm
