Sono 1 dia,
Data,2025-09-29
Duração total do sono,6h 32m
Duração do sono profundo,1h 22m
Duração do sono leve,4h 51m
Duração do REM,19m
Tempo acordado,5m



Métricas da linha do tempo do sono,
Frequência cardíaca em repouso,56 bpm
Alteração do Body Battery,+53
SpO₂ média,90%
SpO2 mais baixo,73%
Média da taxa de respiração,15 brpm
Taxa mais baixa de respiração,10 brpm
