Sono 1 dia,
Data,2025-09-28
Duração total do sono,7h 49m
Duração do sono profundo,1h 20m
Duração do sono leve,5h 21m
Duração do REM,1h 8m
Tempo acordado,3m



Métricas da linha do tempo do sono,
Frequência cardíaca em repouso,57 bpm
Alteração do Body Battery,+57
SpO₂ média,92%
SpO2 mais baixo,81%
Média da taxa de respiração,15 brpm
Taxa mais baixa de respiração,12 brpm
